beta,s0,H,GAMMA,measured_sigmax,measured_sigmaz,N_measures,N_attempted_flips,N_accepted_flips,N_attempted_addsegment,N_accepted_addsegment,N_attempted_removesegment,N_accepted_removesegment,max_diagram_order,avg_diagram_order,run_time,N_total_steps,N_thermalization_steps,update_choice_seed,diagram_seed
10,1,0.4,1e-10,-0,-0.999339,48999999,16669055,10979,16661894,0,16669051,0,0,0,1662618600,50000000,1000000,1693787152036059500,1693787152036058900
10,1,0.4,0.2,-0.446561,-0.89431,48999999,16664127,293205,16666337,4542487,16669536,4542486,12,0,2298584600,50000000,1000000,1693787153698840600,1693787153698839800
10,1,0.4,0.4,-0.706941,-0.707159,48999999,16660504,998191,16667915,6892467,16671581,6892464,18,2,2888305700,50000000,1000000,1693787155997577000,1693787155997576100
10,1,0.4,0.6,-0.83239,-0.55441,48999999,16669132,1865443,16666854,7948689,16664014,7948686,22,4,3307658800,50000000,1000000,1693787158886029600,1693787158886028900
10,1,0.4,0.8,-0.89415,-0.447051,48999999,16661196,2707197,16668756,8671157,16670048,8671155,26,7,3618855500,50000000,1000000,1693787162193837300,1693787162193836900
10,1,0.4,1,-0.928875,-0.371183,48999999,16663538,3478007,16674220,9156494,16662242,9156491,30,9,3854833300,50000000,1000000,1693787165812829900,1693787165812829100
10,1,0.6,1e-10,-0,-0.999987,48999999,16660801,213,16667962,0,16671237,0,0,0,1681864800,50000000,1000000,1693787169667859700,1693787169667858800
10,1,0.6,0.2,-0.317119,-0.948489,48999999,16662357,30690,16671042,3476784,16666601,3476783,10,0,2131392500,50000000,1000000,1693787171349928900,1693787171349927900
10,1,0.6,0.4,-0.555085,-0.831983,48999999,16664906,150777,16665826,5815624,16669268,5815623,18,2,2696754500,50000000,1000000,1693787173481472900,1693787173481472100
10,1,0.6,0.6,-0.706958,-0.706857,48999999,16667249,380819,16665627,6948329,16667124,6948328,22,4,3114496600,50000000,1000000,1693787176178409600,1693787176178408800
10,1,0.6,0.8,-0.800246,-0.59986,48999999,16660483,704633,16671432,7778137,16668085,7778134,24,6,3445865900,50000000,1000000,1693787179293040300,1693787179293039300
10,1,0.6,1,-0.85737,-0.514306,48999999,16663327,1084003,16667525,8400332,16669148,8400327,28,8,3706606600,50000000,1000000,1693787182739040200,1693787182739039500
10,1,0.8,1e-10,-0,-1,48999999,16665509,9,16662399,0,16672092,0,0,0,1668567300,50000000,1000000,1693787186445808400,1693787186445807700
10,1,0.8,0.2,-0.243194,-0.969984,48999999,16664538,3561,16666110,2799539,16669352,2799539,12,0,2027877000,50000000,1000000,1693787188114512500,1693787188114511800
10,1,0.8,0.4,-0.447876,-0.894002,48999999,16665635,20865,16670783,4981184,16663582,4981182,16,1,2531190400,50000000,1000000,1693787190142647000,1693787190142646200
10,1,0.8,0.6,-0.599874,-0.800079,48999999,16667520,65051,16670394,6116204,16662086,6116201,20,3,2938074300,50000000,1000000,1693787192673996100,1693787192673995200
10,1,0.8,0.8,-0.707025,-0.707192,48999999,16669716,149210,16669371,6965267,16660913,6965263,26,5,3281305400,50000000,1000000,1693787195612214200,1693787195612213900
10,1,0.8,1,-0.781375,-0.624211,48999999,16659357,275471,16672376,7654978,16668267,7654976,28,7,3557827100,50000000,1000000,1693787198893689400,1693787198893688600
10,1,1,1e-10,-0,-1,48999999,16668333,1,16663662,0,16668005,0,0,0,1661384700,50000000,1000000,1693787202451645200,1693787202451644800
10,1,1,0.2,-0.195962,-0.980643,48999999,16670207,431,16664287,2336726,16665506,2336726,12,0,1961222200,50000000,1000000,1693787204113171400,1693787204113170600
10,1,1,0.4,-0.373809,-0.927414,48999999,16665070,2841,16662821,4329863,16672109,4329862,16,1,2410157800,50000000,1000000,1693787206074546900,1693787206074546200
10,1,1,0.6,-0.514902,-0.85705,48999999,16664621,10057,16672133,5439350,16663246,5439349,20,3,2790695000,50000000,1000000,1693787208484872100,1693787208484871300
10,1,1,0.8,-0.62425,-0.781125,48999999,16659973,27638,16666324,6278786,16673703,6278782,24,4,3131602900,50000000,1000000,1693787211275716600,1693787211275715800
10,1,1,1,-0.707334,-0.706908,48999999,16664475,61025,16671700,6985987,16663825,6985983,28,7,3415170700,50000000,1000000,1693787214407475800,1693787214407475000
